date,level,base,budget,contract
2016-01-01,Бакалавр,Бакалавр,45,202
2016-04-01,Бакалавр,Бакалавр,41,236
2016-07-01,Бакалавр,Бакалавр,8,72
2016-10-01,Бакалавр,Бакалавр,15,121
2017-01-01,Бакалавр,Бакалавр,15,142
2017-04-01,Бакалавр,Бакалавр,18,184
2017-07-01,Бакалавр,Бакалавр,10,60
2017-10-01,Бакалавр,Бакалавр,10,717
2018-01-01,Бакалавр,Бакалавр,10,697
2018-04-01,Бакалавр,Бакалавр,12,686
2018-07-01,Бакалавр,Бакалавр,7,599
2018-10-01,Бакалавр,Бакалавр,11,1200
2019-01-01,Бакалавр,Бакалавр,12,1176
2019-04-01,Бакалавр,Бакалавр,17,1179
2019-07-01,Бакалавр,Бакалавр,12,909
2019-10-01,Бакалавр,Бакалавр,22,1674
2020-01-01,Бакалавр,Бакалавр,28,1640
2020-04-01,Бакалавр,Бакалавр,33,1651
2020-07-01,Бакалавр,Бакалавр,23,1195
2020-10-01,Бакалавр,Бакалавр,28,2039
2021-01-01,Бакалавр,Бакалавр,31,2045
2021-04-01,Бакалавр,Бакалавр,34,2040
2021-07-01,Бакалавр,Бакалавр,19,1502
2021-10-01,Бакалавр,Бакалавр,26,2493
2022-01-01,Бакалавр,Бакалавр,29,2435
2022-04-01,Бакалавр,Бакалавр,37,2420
2022-07-01,Бакалавр,Бакалавр,27,2048
2022-10-01,Бакалавр,Бакалавр,37,5873
2023-01-01,Бакалавр,Бакалавр,59,6970
2023-04-01,Бакалавр,Бакалавр,56,7163
2023-07-01,Бакалавр,Бакалавр,37,6981
2023-10-01,Бакалавр,Бакалавр,41,29143
2021-07-01,Бакалавр,Молодший бакалавр,0,1
2021-10-01,Бакалавр,Молодший бакалавр,1,3
2022-01-01,Бакалавр,Молодший бакалавр,5,17
2022-04-01,Бакалавр,Молодший бакалавр,5,47
2022-07-01,Бакалавр,Молодший бакалавр,5,46
2022-10-01,Бакалавр,Молодший бакалавр,4,59
2023-01-01,Бакалавр,Молодший бакалавр,9,66
2023-04-01,Бакалавр,Молодший бакалавр,9,78
2023-07-01,Бакалавр,Молодший бакалавр,7,66
2023-10-01,Бакалавр,Молодший бакалавр,7,103
2016-01-01,Бакалавр,Молодший спеціаліст,36355,37858
2016-04-01,Бакалавр,Молодший спеціаліст,35791,36207
2016-07-01,Бакалавр,Молодший спеціаліст,22044,21545
2016-10-01,Бакалавр,Молодший спеціаліст,40831,36426
2017-01-01,Бакалавр,Молодший спеціаліст,40504,35528
2017-04-01,Бакалавр,Молодший спеціаліст,39412,34289
2017-07-01,Бакалавр,Молодший спеціаліст,25274,20087
2017-10-01,Бакалавр,Молодший спеціаліст,42994,35081
2018-01-01,Бакалавр,Молодший спеціаліст,42535,34344
2018-04-01,Бакалавр,Молодший спеціаліст,41541,33392
2018-07-01,Бакалавр,Молодший спеціаліст,24407,19273
2018-10-01,Бакалавр,Молодший спеціаліст,41909,34527
2019-01-01,Бакалавр,Молодший спеціаліст,41652,34072
2019-04-01,Бакалавр,Молодший спеціаліст,40757,32972
2019-07-01,Бакалавр,Молодший спеціаліст,23788,19647
2019-10-01,Бакалавр,Молодший спеціаліст,40789,36974
2020-01-01,Бакалавр,Молодший спеціаліст,40519,36138
2020-04-01,Бакалавр,Молодший спеціаліст,39662,35321
2020-07-01,Бакалавр,Молодший спеціаліст,22895,21654
2020-10-01,Бакалавр,Молодший спеціаліст,39073,33298
2021-01-01,Бакалавр,Молодший спеціаліст,39130,32658
2021-04-01,Бакалавр,Молодший спеціаліст,38447,32081
2021-07-01,Бакалавр,Молодший спеціаліст,24038,18170
2021-10-01,Бакалавр,Молодший спеціаліст,37460,28636
2022-01-01,Бакалавр,Молодший спеціаліст,36446,28029
2022-04-01,Бакалавр,Молодший спеціаліст,36890,27580
2022-07-01,Бакалавр,Молодший спеціаліст,28115,20590
2022-10-01,Бакалавр,Молодший спеціаліст,32666,29082
2023-01-01,Бакалавр,Молодший спеціаліст,33334,28597
2023-04-01,Бакалавр,Молодший спеціаліст,33113,28292
2023-07-01,Бакалавр,Молодший спеціаліст,19007,18530
2023-10-01,Бакалавр,Молодший спеціаліст,27963,38718
2016-01-01,Бакалавр,Повна загальна середня освіта,287441,189173
2016-04-01,Бакалавр,Повна загальна середня освіта,288517,185424
2016-07-01,Бакалавр,Повна загальна середня освіта,212607,140602
2016-10-01,Бакалавр,Повна загальна середня освіта,263259,192326
2017-01-01,Бакалавр,Повна загальна середня освіта,262612,189916
2017-04-01,Бакалавр,Повна загальна середня освіта,259947,186473
2017-07-01,Бакалавр,Повна загальна середня освіта,187880,139716
2017-10-01,Бакалавр,Повна загальна середня освіта,237125,199356
2018-01-01,Бакалавр,Повна загальна середня освіта,236408,196992
2018-04-01,Бакалавр,Повна загальна середня освіта,234122,193013
2018-07-01,Бакалавр,Повна загальна середня освіта,164716,150885
2018-10-01,Бакалавр,Повна загальна середня освіта,212561,211752
2019-01-01,Бакалавр,Повна загальна середня освіта,212458,211113
2019-04-01,Бакалавр,Повна загальна середня освіта,210527,206773
2019-07-01,Бакалавр,Повна загальна середня освіта,149335,167479
2019-10-01,Бакалавр,Повна загальна середня освіта,199036,234375
2020-01-01,Бакалавр,Повна загальна середня освіта,198597,233054
2020-04-01,Бакалавр,Повна загальна середня освіта,197067,228017
2020-07-01,Бакалавр,Повна загальна середня освіта,145924,184250
2020-10-01,Бакалавр,Повна загальна середня освіта,200232,259270
2021-01-01,Бакалавр,Повна загальна середня освіта,200513,257290
2021-04-01,Бакалавр,Повна загальна середня освіта,198865,251914
2021-07-01,Бакалавр,Повна загальна середня освіта,149705,199298
2021-10-01,Бакалавр,Повна загальна середня освіта,208439,270147
2022-01-01,Бакалавр,Повна загальна середня освіта,207661,267274
2022-04-01,Бакалавр,Повна загальна середня освіта,207319,262473
2022-07-01,Бакалавр,Повна загальна середня освіта,180798,232970
2022-10-01,Бакалавр,Повна загальна середня освіта,218174,277481
2023-01-01,Бакалавр,Повна загальна середня освіта,235259,258477
2023-04-01,Бакалавр,Повна загальна середня освіта,233218,252591
2023-07-01,Бакалавр,Повна загальна середня освіта,183827,195151
2023-10-01,Бакалавр,Повна загальна середня освіта,237613,281640
2021-10-01,Бакалавр,Фаховий молодший бакалавр,8,117
2022-01-01,Бакалавр,Фаховий молодший бакалавр,10,115
2022-04-01,Бакалавр,Фаховий молодший бакалавр,10,118
2022-07-01,Бакалавр,Фаховий молодший бакалавр,10,118
2022-10-01,Бакалавр,Фаховий молодший бакалавр,172,632
2023-01-01,Бакалавр,Фаховий молодший бакалавр,183,664
2023-04-01,Бакалавр,Фаховий молодший бакалавр,187,648
2023-07-01,Бакалавр,Фаховий молодший бакалавр,179,624
2023-10-01,Бакалавр,Фаховий молодший бакалавр,698,2449
2016-01-01,Магістр,Бакалавр,45302,40447
2016-04-01,Магістр,Бакалавр,37142,31094
2016-07-01,Магістр,Бакалавр,29411,25594
2016-10-01,Магістр,Бакалавр,75883,50971
2017-01-01,Магістр,Бакалавр,72929,47874
2017-04-01,Магістр,Бакалавр,55459,30228
2017-07-01,Магістр,Бакалавр,46446,25534
2017-10-01,Магістр,Бакалавр,97580,66614
2018-01-01,Магістр,Бакалавр,92356,63560
2018-04-01,Магістр,Бакалавр,63301,44992
2018-07-01,Магістр,Бакалавр,50746,40071
2018-10-01,Магістр,Бакалавр,102912,75299
2019-01-01,Магістр,Бакалавр,70096,53190
2019-04-01,Магістр,Бакалавр,56921,39068
2019-07-01,Магістр,Бакалавр,51462,35482
2019-10-01,Магістр,Бакалавр,96394,63806
2020-01-01,Магістр,Бакалавр,61687,43027
2020-04-01,Магістр,Бакалавр,49295,31993
2020-07-01,Магістр,Бакалавр,44543,28814
2020-10-01,Магістр,Бакалавр,80523,50493
2021-01-01,Магістр,Бакалавр,47801,33740
2021-04-01,Магістр,Бакалавр,40853,27584
2021-07-01,Магістр,Бакалавр,35783,23878
2021-10-01,Магістр,Бакалавр,69900,38257
2022-01-01,Магістр,Бакалавр,52542,29024
2022-04-01,Магістр,Бакалавр,37927,18678
2022-07-01,Магістр,Бакалавр,35049,16978
2022-10-01,Магістр,Бакалавр,72233,70274
2023-01-01,Магістр,Бакалавр,56500,72475
2023-04-01,Магістр,Бакалавр,47028,66605
2023-07-01,Магістр,Бакалавр,42799,63602
2023-10-01,Магістр,Бакалавр,75017,125027
2017-10-01,Магістр,Магістр,2,136
2018-01-01,Магістр,Магістр,2,129
2018-04-01,Магістр,Магістр,0,134
2018-07-01,Магістр,Магістр,0,132
2018-10-01,Магістр,Магістр,4,267
2019-01-01,Магістр,Магістр,4,241
2019-04-01,Магістр,Магістр,21,176
2019-07-01,Магістр,Магістр,21,139
2019-10-01,Магістр,Магістр,50,1716
2020-01-01,Магістр,Магістр,34,1799
2020-04-01,Магістр,Магістр,45,1641
2020-07-01,Магістр,Магістр,45,1575
2020-10-01,Магістр,Магістр,58,2977
2021-01-01,Магістр,Магістр,15,2495
2021-04-01,Магістр,Магістр,17,2074
2021-07-01,Магістр,Магістр,22,1702
2021-10-01,Магістр,Магістр,29,2794
2022-01-01,Магістр,Магістр,18,2371
2022-04-01,Магістр,Магістр,9,1615
2022-07-01,Магістр,Магістр,10,1490
2022-10-01,Магістр,Магістр,12,7103
2023-01-01,Магістр,Магістр,16,8192
2023-04-01,Магістр,Магістр,9,7625
2023-07-01,Магістр,Магістр,8,7974
2023-10-01,Магістр,Магістр,15,13716
2021-10-01,Магістр,Молодший бакалавр,0,2
2022-01-01,Магістр,Молодший бакалавр,0,4
2022-04-01,Магістр,Молодший бакалавр,0,3
2022-07-01,Магістр,Молодший бакалавр,0,3
2022-10-01,Магістр,Молодший бакалавр,0,5
2023-01-01,Магістр,Молодший бакалавр,0,7
2023-04-01,Магістр,Молодший бакалавр,0,7
2023-07-01,Магістр,Молодший бакалавр,0,7
2023-10-01,Магістр,Молодший бакалавр,0,5
2016-01-01,Магістр,Молодший спеціаліст,0,1
2016-04-01,Магістр,Молодший спеціаліст,0,1
2016-07-01,Магістр,Молодший спеціаліст,0,0
2016-10-01,Магістр,Молодший спеціаліст,205,155
2017-01-01,Магістр,Молодший спеціаліст,196,153
2017-04-01,Магістр,Молодший спеціаліст,203,140
2017-07-01,Магістр,Молодший спеціаліст,199,139
2017-10-01,Магістр,Молодший спеціаліст,358,1826
2018-01-01,Магістр,Молодший спеціаліст,354,1810
2018-04-01,Магістр,Молодший спеціаліст,360,1764
2018-07-01,Магістр,Молодший спеціаліст,328,1687
2018-10-01,Магістр,Молодший спеціаліст,342,3536
2019-01-01,Магістр,Молодший спеціаліст,344,3464
2019-04-01,Магістр,Молодший спеціаліст,393,3299
2019-07-01,Магістр,Молодший спеціаліст,388,3187
2019-10-01,Магістр,Молодший спеціаліст,488,4983
2020-01-01,Магістр,Молодший спеціаліст,501,4924
2020-04-01,Магістр,Молодший спеціаліст,571,4793
2020-07-01,Магістр,Молодший спеціаліст,563,4677
2020-10-01,Магістр,Молодший спеціаліст,857,6489
2021-01-01,Магістр,Молодший спеціаліст,871,6351
2021-04-01,Магістр,Молодший спеціаліст,917,6245
2021-07-01,Магістр,Молодший спеціаліст,781,5789
2021-10-01,Магістр,Молодший спеціаліст,1056,7358
2022-01-01,Магістр,Молодший спеціаліст,1072,7293
2022-04-01,Магістр,Молодший спеціаліст,1131,7208
2022-07-01,Магістр,Молодший спеціаліст,1097,6168
2022-10-01,Магістр,Молодший спеціаліст,1131,7505
2023-01-01,Магістр,Молодший спеціаліст,1320,7305
2023-04-01,Магістр,Молодший спеціаліст,1387,7149
2023-07-01,Магістр,Молодший спеціаліст,1262,5941
2023-10-01,Магістр,Молодший спеціаліст,1591,6259
2016-01-01,Магістр,Повна загальна середня освіта,124,1149
2016-04-01,Магістр,Повна загальна середня освіта,86,1141
2016-07-01,Магістр,Повна загальна середня освіта,87,831
2016-10-01,Магістр,Повна загальна середня освіта,4762,8993
2017-01-01,Магістр,Повна загальна середня освіта,4794,11244
2017-04-01,Магістр,Повна загальна середня освіта,4766,11550
2017-07-01,Магістр,Повна загальна середня освіта,4734,11146
2017-10-01,Магістр,Повна загальна середня освіта,10002,20478
2018-01-01,Магістр,Повна загальна середня освіта,9972,24777
2018-04-01,Магістр,Повна загальна середня освіта,9928,25480
2018-07-01,Магістр,Повна загальна середня освіта,9869,24874
2018-10-01,Магістр,Повна загальна середня освіта,14806,32401
2019-01-01,Магістр,Повна загальна середня освіта,14775,38034
2019-04-01,Магістр,Повна загальна середня освіта,14714,38476
2019-07-01,Магістр,Повна загальна середня освіта,14566,37536
2019-10-01,Магістр,Повна загальна середня освіта,18778,43418
2020-01-01,Магістр,Повна загальна середня освіта,18707,48218
2020-04-01,Магістр,Повна загальна середня освіта,18631,48096
2020-07-01,Магістр,Повна загальна середня освіта,18592,47653
2020-10-01,Магістр,Повна загальна середня освіта,22789,51354
2021-01-01,Магістр,Повна загальна середня освіта,22728,53984
2021-04-01,Магістр,Повна загальна середня освіта,22582,52877
2021-07-01,Магістр,Повна загальна середня освіта,22367,52375
2021-10-01,Магістр,Повна загальна середня освіта,26702,55016
2022-01-01,Магістр,Повна загальна середня освіта,26628,61552
2022-04-01,Магістр,Повна загальна середня освіта,26556,62700
2022-07-01,Магістр,Повна загальна середня освіта,22872,55924
2022-10-01,Магістр,Повна загальна середня освіта,27156,54060
2023-01-01,Магістр,Повна загальна середня освіта,27817,46712
2023-04-01,Магістр,Повна загальна середня освіта,27736,41912
2023-07-01,Магістр,Повна загальна середня освіта,22898,33213
2023-10-01,Магістр,Повна загальна середня освіта,26726,29528
2016-01-01,Магістр,Спеціаліст,3,18
2016-04-01,Магістр,Спеціаліст,3,15
2016-07-01,Магістр,Спеціаліст,3,3
2016-10-01,Магістр,Спеціаліст,3,6
2017-01-01,Магістр,Спеціаліст,15,9
2017-04-01,Магістр,Спеціаліст,15,10
2017-07-01,Магістр,Спеціаліст,14,9
2017-10-01,Магістр,Спеціаліст,2,25
2018-01-01,Магістр,Спеціаліст,2,40
2018-04-01,Магістр,Спеціаліст,1,56
2018-07-01,Магістр,Спеціаліст,0,49
2018-10-01,Магістр,Спеціаліст,2,69
2019-01-01,Магістр,Спеціаліст,3,61
2019-04-01,Магістр,Спеціаліст,10,35
2019-07-01,Магістр,Спеціаліст,10,44
2019-10-01,Магістр,Спеціаліст,10,72
2020-01-01,Магістр,Спеціаліст,1,72
2020-04-01,Магістр,Спеціаліст,0,58
2020-07-01,Магістр,Спеціаліст,1,49
2020-10-01,Магістр,Спеціаліст,1,73
2021-01-01,Магістр,Спеціаліст,1,76
2021-04-01,Магістр,Спеціаліст,0,57
2021-07-01,Магістр,Спеціаліст,0,25
2021-10-01,Магістр,Спеціаліст,0,50
2022-01-01,Магістр,Спеціаліст,0,75
2022-04-01,Магістр,Спеціаліст,0,37
2022-07-01,Магістр,Спеціаліст,0,67
2022-10-01,Магістр,Спеціаліст,0,178
2023-01-01,Магістр,Спеціаліст,0,152
2023-04-01,Магістр,Спеціаліст,0,170
2023-07-01,Магістр,Спеціаліст,0,1035
2023-10-01,Магістр,Спеціаліст,0,1562
2022-01-01,Магістр,Фаховий молодший бакалавр,1,0
2022-04-01,Магістр,Фаховий молодший бакалавр,0,1
2022-10-01,Магістр,Фаховий молодший бакалавр,0,46
2023-01-01,Магістр,Фаховий молодший бакалавр,0,49
2023-04-01,Магістр,Фаховий молодший бакалавр,0,49
2023-07-01,Магістр,Фаховий молодший бакалавр,0,47
2023-10-01,Магістр,Фаховий молодший бакалавр,6,45
2022-10-01,Молодший бакалавр,Молодший бакалавр,0,0
2023-01-01,Молодший бакалавр,Молодший бакалавр,0,1
2023-04-01,Молодший бакалавр,Молодший бакалавр,0,1
2023-07-01,Молодший бакалавр,Молодший бакалавр,0,1
2023-10-01,Молодший бакалавр,Молодший бакалавр,0,84
2019-10-01,Молодший бакалавр,Молодший спеціаліст,0,2
2020-01-01,Молодший бакалавр,Молодший спеціаліст,0,2
2020-04-01,Молодший бакалавр,Молодший спеціаліст,0,2
2020-07-01,Молодший бакалавр,Молодший спеціаліст,0,2
2020-10-01,Молодший бакалавр,Молодший спеціаліст,0,20
2021-01-01,Молодший бакалавр,Молодший спеціаліст,0,19
2021-04-01,Молодший бакалавр,Молодший спеціаліст,0,19
2021-07-01,Молодший бакалавр,Молодший спеціаліст,0,16
2021-10-01,Молодший бакалавр,Молодший спеціаліст,2,25
2022-01-01,Молодший бакалавр,Молодший спеціаліст,2,12
2022-04-01,Молодший бакалавр,Молодший спеціаліст,2,12
2022-07-01,Молодший бакалавр,Молодший спеціаліст,1,4
2022-10-01,Молодший бакалавр,Молодший спеціаліст,0,24
2023-01-01,Молодший бакалавр,Молодший спеціаліст,0,21
2023-04-01,Молодший бакалавр,Молодший спеціаліст,0,20
2023-07-01,Молодший бакалавр,Молодший спеціаліст,0,6
2023-10-01,Молодший бакалавр,Молодший спеціаліст,0,9
2016-10-01,Молодший бакалавр,Повна загальна середня освіта,0,11
2017-01-01,Молодший бакалавр,Повна загальна середня освіта,0,12
2017-04-01,Молодший бакалавр,Повна загальна середня освіта,0,12
2017-07-01,Молодший бакалавр,Повна загальна середня освіта,0,12
2017-10-01,Молодший бакалавр,Повна загальна середня освіта,0,12
2018-01-01,Молодший бакалавр,Повна загальна середня освіта,0,12
2018-04-01,Молодший бакалавр,Повна загальна середня освіта,0,12
2019-10-01,Молодший бакалавр,Повна загальна середня освіта,0,398
2020-01-01,Молодший бакалавр,Повна загальна середня освіта,0,394
2020-04-01,Молодший бакалавр,Повна загальна середня освіта,0,377
2020-07-01,Молодший бакалавр,Повна загальна середня освіта,0,388
2020-10-01,Молодший бакалавр,Повна загальна середня освіта,470,1172
2021-01-01,Молодший бакалавр,Повна загальна середня освіта,473,1161
2021-04-01,Молодший бакалавр,Повна загальна середня освіта,465,1125
2021-07-01,Молодший бакалавр,Повна загальна середня освіта,454,768
2021-10-01,Молодший бакалавр,Повна загальна середня освіта,1023,2107
2022-01-01,Молодший бакалавр,Повна загальна середня освіта,1032,2071
2022-04-01,Молодший бакалавр,Повна загальна середня освіта,1022,2025
2022-07-01,Молодший бакалавр,Повна загальна середня освіта,754,1615
2022-10-01,Молодший бакалавр,Повна загальна середня освіта,1026,1559
2023-01-01,Молодший бакалавр,Повна загальна середня освіта,1170,1391
2023-04-01,Молодший бакалавр,Повна загальна середня освіта,1160,1340
2023-07-01,Молодший бакалавр,Повна загальна середня освіта,480,351
2023-10-01,Молодший бакалавр,Повна загальна середня освіта,677,681
2023-10-01,Молодший бакалавр,Фаховий молодший бакалавр,0,5
2016-01-01,Молодший спеціаліст,Базова середня освіта,210552,81467
2016-04-01,Молодший спеціаліст,Базова середня освіта,204620,78814
2016-07-01,Молодший спеціаліст,Базова середня освіта,154340,59228
2016-10-01,Молодший спеціаліст,Базова середня освіта,210376,81053
2017-01-01,Молодший спеціаліст,Базова середня освіта,209967,80143
2017-04-01,Молодший спеціаліст,Базова середня освіта,204711,77644
2017-07-01,Молодший спеціаліст,Базова середня освіта,155952,59130
2017-10-01,Молодший спеціаліст,Базова середня освіта,209822,82557
2018-01-01,Молодший спеціаліст,Базова середня освіта,208107,81384
2018-04-01,Молодший спеціаліст,Базова середня освіта,202730,78773
2018-07-01,Молодший спеціаліст,Базова середня освіта,155569,61923
2018-10-01,Молодший спеціаліст,Базова середня освіта,207289,78741
2019-01-01,Молодший спеціаліст,Базова середня освіта,207181,77526
2019-04-01,Молодший спеціаліст,Базова середня освіта,201364,74678
2019-07-01,Молодший спеціаліст,Базова середня освіта,151245,55994
2019-10-01,Молодший спеціаліст,Базова середня освіта,201226,72868
2020-01-01,Молодший спеціаліст,Базова середня освіта,199715,71595
2020-04-01,Молодший спеціаліст,Базова середня освіта,195245,68907
2020-07-01,Молодший спеціаліст,Базова середня освіта,149011,52365
2020-10-01,Молодший спеціаліст,Базова середня освіта,146149,48950
2021-01-01,Молодший спеціаліст,Базова середня освіта,145662,48312
2021-04-01,Молодший спеціаліст,Базова середня освіта,142077,46505
2021-07-01,Молодший спеціаліст,Базова середня освіта,93907,29432
2021-10-01,Молодший спеціаліст,Базова середня освіта,91167,26667
2022-01-01,Молодший спеціаліст,Базова середня освіта,89579,26058
2022-04-01,Молодший спеціаліст,Базова середня освіта,85513,24037
2022-07-01,Молодший спеціаліст,Базова середня освіта,47990,14127
2022-10-01,Молодший спеціаліст,Базова середня освіта,40521,9974
2023-01-01,Молодший спеціаліст,Базова середня освіта,40078,9438
2023-04-01,Молодший спеціаліст,Базова середня освіта,35815,7828
2023-07-01,Молодший спеціаліст,Базова середня освіта,1634,893
2023-10-01,Молодший спеціаліст,Базова середня освіта,1015,584
2016-01-01,Молодший спеціаліст,Кваліфікований робітник,6622,3932
2016-04-01,Молодший спеціаліст,Кваліфікований робітник,6069,3620
