date,level,base,budget,contract
2016-07-01,Молодший спеціаліст,Кваліфікований робітник,3670,2027
2016-10-01,Молодший спеціаліст,Кваліфікований робітник,7484,3688
2017-01-01,Молодший спеціаліст,Кваліфікований робітник,7183,3505
2017-04-01,Молодший спеціаліст,Кваліфікований робітник,6555,3190
2017-07-01,Молодший спеціаліст,Кваліфікований робітник,4007,1666
2017-10-01,Молодший спеціаліст,Кваліфікований робітник,10367,3705
2018-01-01,Молодший спеціаліст,Кваліфікований робітник,10100,3527
2018-04-01,Молодший спеціаліст,Кваліфікований робітник,9412,3212
2018-07-01,Молодший спеціаліст,Кваліфікований робітник,6711,1763
2018-10-01,Молодший спеціаліст,Кваліфікований робітник,13480,3539
2019-01-01,Молодший спеціаліст,Кваліфікований робітник,13034,3407
2019-04-01,Молодший спеціаліст,Кваліфікований робітник,11331,3069
2019-07-01,Молодший спеціаліст,Кваліфікований робітник,6917,1659
2019-10-01,Молодший спеціаліст,Кваліфікований робітник,13525,2945
2020-01-01,Молодший спеціаліст,Кваліфікований робітник,13122,2717
2020-04-01,Молодший спеціаліст,Кваліфікований робітник,11373,2369
2020-07-01,Молодший спеціаліст,Кваліфікований робітник,6998,1407
2020-10-01,Молодший спеціаліст,Кваліфікований робітник,6920,1194
2021-01-01,Молодший спеціаліст,Кваліфікований робітник,6832,1145
2021-04-01,Молодший спеціаліст,Кваліфікований робітник,5518,968
2021-07-01,Молодший спеціаліст,Кваліфікований робітник,1088,368
2021-10-01,Молодший спеціаліст,Кваліфікований робітник,1066,289
2022-01-01,Молодший спеціаліст,Кваліфікований робітник,990,278
2022-04-01,Молодший спеціаліст,Кваліфікований робітник,716,225
2022-07-01,Молодший спеціаліст,Кваліфікований робітник,165,96
2022-10-01,Молодший спеціаліст,Кваліфікований робітник,90,51
2023-01-01,Молодший спеціаліст,Кваліфікований робітник,79,46
2023-04-01,Молодший спеціаліст,Кваліфікований робітник,55,32
2023-07-01,Молодший спеціаліст,Кваліфікований робітник,28,17
2023-10-01,Молодший спеціаліст,Кваліфікований робітник,22,16
2016-01-01,Молодший спеціаліст,Молодший спеціаліст,28,12
2016-04-01,Молодший спеціаліст,Молодший спеціаліст,27,14
2016-07-01,Молодший спеціаліст,Молодший спеціаліст,26,10
2016-10-01,Молодший спеціаліст,Молодший спеціаліст,26,17
2017-01-01,Молодший спеціаліст,Молодший спеціаліст,40,19
2017-04-01,Молодший спеціаліст,Молодший спеціаліст,39,26
2017-07-01,Молодший спеціаліст,Молодший спеціаліст,15,13
2017-10-01,Молодший спеціаліст,Молодший спеціаліст,17,200
2018-01-01,Молодший спеціаліст,Молодший спеціаліст,18,188
2018-04-01,Молодший спеціаліст,Молодший спеціаліст,19,184
2018-07-01,Молодший спеціаліст,Молодший спеціаліст,5,134
2018-10-01,Молодший спеціаліст,Молодший спеціаліст,18,299
2019-01-01,Молодший спеціаліст,Молодший спеціаліст,17,283
2019-04-01,Молодший спеціаліст,Молодший спеціаліст,17,280
2019-07-01,Молодший спеціаліст,Молодший спеціаліст,12,210
2019-10-01,Молодший спеціаліст,Молодший спеціаліст,20,385
2020-01-01,Молодший спеціаліст,Молодший спеціаліст,32,361
2020-04-01,Молодший спеціаліст,Молодший спеціаліст,32,339
2020-07-01,Молодший спеціаліст,Молодший спеціаліст,24,233
2020-10-01,Молодший спеціаліст,Молодший спеціаліст,29,219
2021-01-01,Молодший спеціаліст,Молодший спеціаліст,29,212
2021-04-01,Молодший спеціаліст,Молодший спеціаліст,29,198
2021-07-01,Молодший спеціаліст,Молодший спеціаліст,7,101
2021-10-01,Молодший спеціаліст,Молодший спеціаліст,10,95
2022-01-01,Молодший спеціаліст,Молодший спеціаліст,10,92
2022-04-01,Молодший спеціаліст,Молодший спеціаліст,9,88
2022-07-01,Молодший спеціаліст,Молодший спеціаліст,1,17
2022-10-01,Молодший спеціаліст,Молодший спеціаліст,2,10
2023-01-01,Молодший спеціаліст,Молодший спеціаліст,2,6
2023-04-01,Молодший спеціаліст,Молодший спеціаліст,2,7
2023-07-01,Молодший спеціаліст,Молодший спеціаліст,1,2
2023-10-01,Молодший спеціаліст,Молодший спеціаліст,0,3
2016-01-01,Молодший спеціаліст,Повна загальна середня освіта,39892,30511
2016-04-01,Молодший спеціаліст,Повна загальна середня освіта,37440,28342
2016-07-01,Молодший спеціаліст,Повна загальна середня освіта,24241,17335
2016-10-01,Молодший спеціаліст,Повна загальна середня освіта,36412,23544
2017-01-01,Молодший спеціаліст,Повна загальна середня освіта,36400,23213
2017-04-01,Молодший спеціаліст,Повна загальна середня освіта,33703,21204
2017-07-01,Молодший спеціаліст,Повна загальна середня освіта,21120,12709
2017-10-01,Молодший спеціаліст,Повна загальна середня освіта,29634,19562
2018-01-01,Молодший спеціаліст,Повна загальна середня освіта,29164,19074
2018-04-01,Молодший спеціаліст,Повна загальна середня освіта,26697,17309
2018-07-01,Молодший спеціаліст,Повна загальна середня освіта,16176,10800
2018-10-01,Молодший спеціаліст,Повна загальна середня освіта,23933,16423
2019-01-01,Молодший спеціаліст,Повна загальна середня освіта,23819,16049
2019-04-01,Молодший спеціаліст,Повна загальна середня освіта,22128,14828
2019-07-01,Молодший спеціаліст,Повна загальна середня освіта,14448,9704
2019-10-01,Молодший спеціаліст,Повна загальна середня освіта,21687,14129
2020-01-01,Молодший спеціаліст,Повна загальна середня освіта,21479,13758
2020-04-01,Молодший спеціаліст,Повна загальна середня освіта,20455,12647
2020-07-01,Молодший спеціаліст,Повна загальна середня освіта,13494,8008
2020-10-01,Молодший спеціаліст,Повна загальна середня освіта,13424,7419
2021-01-01,Молодший спеціаліст,Повна загальна середня освіта,13401,7296
2021-04-01,Молодший спеціаліст,Повна загальна середня освіта,12328,6751
2021-07-01,Молодший спеціаліст,Повна загальна середня освіта,5579,2796
2021-10-01,Молодший спеціаліст,Повна загальна середня освіта,5594,2639
2022-01-01,Молодший спеціаліст,Повна загальна середня освіта,5512,2517
2022-04-01,Молодший спеціаліст,Повна загальна середня освіта,4524,2071
2022-07-01,Молодший спеціаліст,Повна загальна середня освіта,1199,865
2022-10-01,Молодший спеціаліст,Повна загальна середня освіта,323,423
2023-01-01,Молодший спеціаліст,Повна загальна середня освіта,303,398
2023-04-01,Молодший спеціаліст,Повна загальна середня освіта,262,333
2023-07-01,Молодший спеціаліст,Повна загальна середня освіта,113,119
2023-10-01,Молодший спеціаліст,Повна загальна середня освіта,99,111
2016-01-01,Спеціаліст,Бакалавр,32784,19844
2016-04-01,Спеціаліст,Бакалавр,28845,18621
2016-07-01,Спеціаліст,Бакалавр,4506,5029
2016-10-01,Спеціаліст,Бакалавр,32257,15473
2017-01-01,Спеціаліст,Бакалавр,31491,14997
2017-04-01,Спеціаліст,Бакалавр,28231,14082
2017-07-01,Спеціаліст,Бакалавр,3917,2501
2017-10-01,Спеціаліст,Бакалавр,3726,1974
2018-01-01,Спеціаліст,Бакалавр,2228,1761
2018-04-01,Спеціаліст,Бакалавр,255,1133
2018-07-01,Спеціаліст,Бакалавр,57,325
2018-10-01,Спеціаліст,Бакалавр,47,268
2019-01-01,Спеціаліст,Бакалавр,39,256
2019-04-01,Спеціаліст,Бакалавр,33,237
2019-07-01,Спеціаліст,Бакалавр,24,194
2019-10-01,Спеціаліст,Бакалавр,22,192
2020-01-01,Спеціаліст,Бакалавр,17,191
2020-04-01,Спеціаліст,Бакалавр,14,191
2020-07-01,Спеціаліст,Бакалавр,12,176
2020-10-01,Спеціаліст,Бакалавр,10,197
2021-01-01,Спеціаліст,Бакалавр,10,195
2021-04-01,Спеціаліст,Бакалавр,8,198
2021-07-01,Спеціаліст,Бакалавр,3,156
2021-10-01,Спеціаліст,Бакалавр,4,137
2022-01-01,Спеціаліст,Бакалавр,3,167
2022-04-01,Спеціаліст,Бакалавр,3,98
2022-07-01,Спеціаліст,Бакалавр,3,77
2022-10-01,Спеціаліст,Бакалавр,2,118
2023-01-01,Спеціаліст,Бакалавр,1,117
2023-04-01,Спеціаліст,Бакалавр,1,115
2023-07-01,Спеціаліст,Бакалавр,3,70
2023-10-01,Спеціаліст,Бакалавр,2,137
2016-01-01,Спеціаліст,Молодший спеціаліст,269,2783
2016-04-01,Спеціаліст,Молодший спеціаліст,271,2751
2016-07-01,Спеціаліст,Молодший спеціаліст,257,2622
2016-10-01,Спеціаліст,Молодший спеціаліст,311,3728
2017-01-01,Спеціаліст,Молодший спеціаліст,314,3682
2017-04-01,Спеціаліст,Молодший спеціаліст,314,3625
2017-07-01,Спеціаліст,Молодший спеціаліст,299,3160
2017-10-01,Спеціаліст,Молодший спеціаліст,264,3083
2018-01-01,Спеціаліст,Молодший спеціаліст,267,3072
2018-04-01,Спеціаліст,Молодший спеціаліст,268,3041
2018-07-01,Спеціаліст,Молодший спеціаліст,249,2322
2018-10-01,Спеціаліст,Молодший спеціаліст,235,2235
2019-01-01,Спеціаліст,Молодший спеціаліст,242,2228
2019-04-01,Спеціаліст,Молодший спеціаліст,240,2259
2019-07-01,Спеціаліст,Молодший спеціаліст,205,1408
2019-10-01,Спеціаліст,Молодший спеціаліст,209,1365
2020-01-01,Спеціаліст,Молодший спеціаліст,210,1363
2020-04-01,Спеціаліст,Молодший спеціаліст,209,1387
2020-07-01,Спеціаліст,Молодший спеціаліст,65,588
2020-10-01,Спеціаліст,Молодший спеціаліст,66,565
2021-01-01,Спеціаліст,Молодший спеціаліст,66,564
2021-04-01,Спеціаліст,Молодший спеціаліст,66,565
2021-07-01,Спеціаліст,Молодший спеціаліст,1,43
2021-10-01,Спеціаліст,Молодший спеціаліст,1,28
2022-01-01,Спеціаліст,Молодший спеціаліст,1,23
2022-04-01,Спеціаліст,Молодший спеціаліст,1,27
2022-07-01,Спеціаліст,Молодший спеціаліст,1,16
2022-10-01,Спеціаліст,Молодший спеціаліст,1,16
2023-01-01,Спеціаліст,Молодший спеціаліст,1,13
2023-04-01,Спеціаліст,Молодший спеціаліст,1,11
2023-07-01,Спеціаліст,Молодший спеціаліст,1,10
2023-10-01,Спеціаліст,Молодший спеціаліст,1,12
2016-01-01,Спеціаліст,Повна загальна середня освіта,25429,51213
2016-04-01,Спеціаліст,Повна загальна середня освіта,25315,51077
2016-07-01,Спеціаліст,Повна загальна середня освіта,21576,43027
2016-10-01,Спеціаліст,Повна загальна середня освіта,21969,44442
2017-01-01,Спеціаліст,Повна загальна середня освіта,21979,45442
2017-04-01,Спеціаліст,Повна загальна середня освіта,21880,45520
2017-07-01,Спеціаліст,Повна загальна середня освіта,17843,36886
2017-10-01,Спеціаліст,Повна загальна середня освіта,17655,36340
2018-01-01,Спеціаліст,Повна загальна середня освіта,17660,36594
2018-04-01,Спеціаліст,Повна загальна середня освіта,17595,36804
2018-07-01,Спеціаліст,Повна загальна середня освіта,13590,26724
2018-10-01,Спеціаліст,Повна загальна середня освіта,13386,25769
2019-01-01,Спеціаліст,Повна загальна середня освіта,13420,25997
2019-04-01,Спеціаліст,Повна загальна середня освіта,13422,26280
2019-07-01,Спеціаліст,Повна загальна середня освіта,9465,15886
2019-10-01,Спеціаліст,Повна загальна середня освіта,9387,14990
2020-01-01,Спеціаліст,Повна загальна середня освіта,9375,15072
2020-04-01,Спеціаліст,Повна загальна середня освіта,9367,15308
2020-07-01,Спеціаліст,Повна загальна середня освіта,4901,7195
2020-10-01,Спеціаліст,Повна загальна середня освіта,4845,6840
2021-01-01,Спеціаліст,Повна загальна середня освіта,4843,6743
2021-04-01,Спеціаліст,Повна загальна середня освіта,4838,6920
2021-07-01,Спеціаліст,Повна загальна середня освіта,315,1684
2021-10-01,Спеціаліст,Повна загальна середня освіта,296,1448
2022-01-01,Спеціаліст,Повна загальна середня освіта,294,1374
2022-04-01,Спеціаліст,Повна загальна середня освіта,290,1455
2022-07-01,Спеціаліст,Повна загальна середня освіта,140,1048
2022-10-01,Спеціаліст,Повна загальна середня освіта,8,461
2023-01-01,Спеціаліст,Повна загальна середня освіта,3,199
2023-04-01,Спеціаліст,Повна загальна середня освіта,5,66
2023-07-01,Спеціаліст,Повна загальна середня освіта,5,54
2023-10-01,Спеціаліст,Повна загальна середня освіта,3,52
2016-01-01,Спеціаліст,Спеціаліст,1,51
2016-04-01,Спеціаліст,Спеціаліст,1,51
2016-07-01,Спеціаліст,Спеціаліст,1,51
2016-10-01,Спеціаліст,Спеціаліст,1,65
2017-01-01,Спеціаліст,Спеціаліст,1,67
2017-04-01,Спеціаліст,Спеціаліст,1,193
2017-07-01,Спеціаліст,Спеціаліст,2,128
2017-10-01,Спеціаліст,Спеціаліст,2,97
2018-01-01,Спеціаліст,Спеціаліст,1,97
2018-04-01,Спеціаліст,Спеціаліст,1,77
2018-07-01,Спеціаліст,Спеціаліст,0,22
2018-10-01,Спеціаліст,Спеціаліст,1,11
2019-01-01,Спеціаліст,Спеціаліст,1,8
2019-04-01,Спеціаліст,Спеціаліст,1,5
2019-07-01,Спеціаліст,Спеціаліст,1,3
2019-10-01,Спеціаліст,Спеціаліст,1,5
2020-01-01,Спеціаліст,Спеціаліст,1,5
2020-04-01,Спеціаліст,Спеціаліст,1,5
2020-07-01,Спеціаліст,Спеціаліст,0,2
2020-10-01,Спеціаліст,Спеціаліст,0,5
2021-01-01,Спеціаліст,Спеціаліст,0,5
2021-04-01,Спеціаліст,Спеціаліст,0,5
2021-07-01,Спеціаліст,Спеціаліст,0,0
2021-10-01,Спеціаліст,Спеціаліст,1,0
2022-01-01,Спеціаліст,Спеціаліст,0,2
2022-04-01,Спеціаліст,Спеціаліст,1,1
2022-07-01,Спеціаліст,Спеціаліст,1,1
2022-10-01,Спеціаліст,Спеціаліст,1,3
2023-01-01,Спеціаліст,Спеціаліст,1,5
2023-04-01,Спеціаліст,Спеціаліст,0,5
2023-10-01,Спеціаліст,Спеціаліст,0,1
2020-04-01,Фаховий молодший бакалавр,Базова середня освіта,0,1
2020-07-01,Фаховий молодший бакалавр,Базова середня освіта,0,1
2020-10-01,Фаховий молодший бакалавр,Базова середня освіта,51074,18467
2021-01-01,Фаховий молодший бакалавр,Базова середня освіта,51034,18174
2021-04-01,Фаховий молодший бакалавр,Базова середня освіта,51144,18133
2021-07-01,Фаховий молодший бакалавр,Базова середня освіта,50767,17881
2021-10-01,Фаховий молодший бакалавр,Базова середня освіта,105011,44619
2022-01-01,Фаховий молодший бакалавр,Базова середня освіта,104015,44023
2022-04-01,Фаховий молодший бакалавр,Базова середня освіта,104070,43646
2022-07-01,Фаховий молодший бакалавр,Базова середня освіта,103675,43312
2022-10-01,Фаховий молодший бакалавр,Базова середня освіта,151366,60569
2023-01-01,Фаховий молодший бакалавр,Базова середня освіта,151634,57886
2023-04-01,Фаховий молодший бакалавр,Базова середня освіта,151579,56585
2023-07-01,Фаховий молодший бакалавр,Базова середня освіта,141968,50594
2023-10-01,Фаховий молодший бакалавр,Базова середня освіта,188920,72110
2020-07-01,Фаховий молодший бакалавр,Бакалавр,0,0
2020-10-01,Фаховий молодший бакалавр,Бакалавр,0,1
2021-01-01,Фаховий молодший бакалавр,Бакалавр,0,1
2021-04-01,Фаховий молодший бакалавр,Бакалавр,0,1
2021-07-01,Фаховий молодший бакалавр,Бакалавр,0,1
2021-10-01,Фаховий молодший бакалавр,Бакалавр,0,0
2022-01-01,Фаховий молодший бакалавр,Бакалавр,0,0
2022-04-01,Фаховий молодший бакалавр,Бакалавр,0,1
2022-07-01,Фаховий молодший бакалавр,Бакалавр,0,2
2022-10-01,Фаховий молодший бакалавр,Бакалавр,0,3
2023-01-01,Фаховий молодший бакалавр,Бакалавр,0,22
2023-04-01,Фаховий молодший бакалавр,Бакалавр,0,37
2023-07-01,Фаховий молодший бакалавр,Бакалавр,0,39
2023-10-01,Фаховий молодший бакалавр,Бакалавр,0,45
2020-04-01,Фаховий молодший бакалавр,Кваліфікований робітник,0,74
2020-07-01,Фаховий молодший бакалавр,Кваліфікований робітник,0,71
2020-10-01,Фаховий молодший бакалавр,Кваліфікований робітник,6740,1546
2021-01-01,Фаховий молодший бакалавр,Кваліфікований робітник,6658,1469
2021-04-01,Фаховий молодший бакалавр,Кваліфікований робітник,6484,1480
2021-07-01,Фаховий молодший бакалавр,Кваліфікований робітник,6188,1221
2021-10-01,Фаховий молодший бакалавр,Кваліфікований робітник,12518,2368
2022-01-01,Фаховий молодший бакалавр,Кваліфікований робітник,12276,2254
2022-04-01,Фаховий молодший бакалавр,Кваліфікований робітник,10781,2005
2022-07-01,Фаховий молодший бакалавр,Кваліфікований робітник,7837,1610
2022-10-01,Фаховий молодший бакалавр,Кваліфікований робітник,12419,3559
2023-01-01,Фаховий молодший бакалавр,Кваліфікований робітник,12142,3418
2023-04-01,Фаховий молодший бакалавр,Кваліфікований робітник,10759,3141
2023-07-01,Фаховий молодший бакалавр,Кваліфікований робітник,6363,2388
2023-10-01,Фаховий молодший бакалавр,Кваліфікований робітник,12097,4686
2020-10-01,Фаховий молодший бакалавр,Магістр,0,1
2021-01-01,Фаховий молодший бакалавр,Магістр,0,1
2021-04-01,Фаховий молодший бакалавр,Магістр,0,1
2021-07-01,Фаховий молодший бакалавр,Магістр,0,1
2021-10-01,Фаховий молодший бакалавр,Магістр,0,1
2022-01-01,Фаховий молодший бакалавр,Магістр,0,1
2022-04-01,Фаховий молодший бакалавр,Магістр,0,1
2022-07-01,Фаховий молодший бакалавр,Магістр,0,1
2022-10-01,Фаховий молодший бакалавр,Магістр,0,1
2023-01-01,Фаховий молодший бакалавр,Магістр,0,19
2023-04-01,Фаховий молодший бакалавр,Магістр,0,20
2023-07-01,Фаховий молодший бакалавр,Магістр,0,17
2023-10-01,Фаховий молодший бакалавр,Магістр,0,18
2023-01-01,Фаховий молодший бакалавр,Молодший бакалавр,0,0
2023-04-01,Фаховий молодший бакалавр,Молодший бакалавр,0,0
2023-07-01,Фаховий молодший бакалавр,Молодший бакалавр,0,1
2023-10-01,Фаховий молодший бакалавр,Молодший бакалавр,0,1
2020-04-01,Фаховий молодший бакалавр,Молодший спеціаліст,0,0
2020-07-01,Фаховий молодший бакалавр,Молодший спеціаліст,0,0
2020-10-01,Фаховий молодший бакалавр,Молодший спеціаліст,13,322
2021-01-01,Фаховий молодший бакалавр,Молодший спеціаліст,16,319
2021-04-01,Фаховий молодший бакалавр,Молодший спеціаліст,16,279
2021-07-01,Фаховий молодший бакалавр,Молодший спеціаліст,15,238
2021-10-01,Фаховий молодший бакалавр,Молодший спеціаліст,25,536
2022-01-01,Фаховий молодший бакалавр,Молодший спеціаліст,26,524
2022-04-01,Фаховий молодший бакалавр,Молодший спеціаліст,27,486
2022-07-01,Фаховий молодший бакалавр,Молодший спеціаліст,22,404
2022-10-01,Фаховий молодший бакалавр,Молодший спеціаліст,39,1396
2023-01-01,Фаховий молодший бакалавр,Молодший спеціаліст,48,1685
2023-04-01,Фаховий молодший бакалавр,Молодший спеціаліст,46,1647
2023-07-01,Фаховий молодший бакалавр,Молодший спеціаліст,24,1318
2023-10-01,Фаховий молодший бакалавр,Молодший спеціаліст,145,2988
2020-07-01,Фаховий молодший бакалавр,Повна загальна середня освіта,0,0
2020-10-01,Фаховий молодший бакалавр,Повна загальна середня освіта,10800,10506
2021-01-01,Фаховий молодший бакалавр,Повна загальна середня освіта,10860,10100
2021-04-01,Фаховий молодший бакалавр,Повна загальна середня освіта,10697,9920
2021-07-01,Фаховий молодший бакалавр,Повна загальна середня освіта,10418,9566
2021-10-01,Фаховий молодший бакалавр,Повна загальна середня освіта,21565,22094
2022-01-01,Фаховий молодший бакалавр,Повна загальна середня освіта,21166,21494
2022-04-01,Фаховий молодший бакалавр,Повна загальна середня освіта,21072,20902
2022-07-01,Фаховий молодший бакалавр,Повна загальна середня освіта,19028,18532
2022-10-01,Фаховий молодший бакалавр,Повна загальна середня освіта,27804,26604
2023-01-01,Фаховий молодший бакалавр,Повна загальна середня освіта,28583,26121
2023-04-01,Фаховий молодший бакалавр,Повна загальна середня освіта,27131,24682
2023-07-01,Фаховий молодший бакалавр,Повна загальна середня освіта,18591,17090
2023-10-01,Фаховий молодший бакалавр,Повна загальна середня освіта,29115,33370
2021-10-01,Фаховий молодший бакалавр,Фаховий молодший бакалавр,0,1
2022-01-01,Фаховий молодший бакалавр,Фаховий молодший бакалавр,0,1
2022-04-01,Фаховий молодший бакалавр,Фаховий молодший бакалавр,0,1
2022-07-01,Фаховий молодший бакалавр,Фаховий молодший бакалавр,0,1
2022-10-01,Фаховий молодший бакалавр,Фаховий молодший бакалавр,0,22
2023-01-01,Фаховий молодший бакалавр,Фаховий молодший бакалавр,0,43
2023-04-01,Фаховий молодший бакалавр,Фаховий молодший бакалавр,0,44
2023-07-01,Фаховий молодший бакалавр,Фаховий молодший бакалавр,0,32
2023-10-01,Фаховий молодший бакалавр,Фаховий молодший бакалавр,16,206