,logging_method,region,user_company,tot_records,tot_usbl_vol
0,суцільна,Вінницька,Вінницьке ЛГ,2,114.0
1,суцільна,Волинська,ЛМГ Звірівське,7,479.0
2,суцільна,Волинська,Любешівське ЛМГ,5,355.0
3,суцільна,Волинська,Маневицьке ЛГ,2,186.0
4,суцільна,Волинська,Ратнівське ЛМГ,1,102.0
5,суцільна,Волинська,Старовижівське ЛГ,1,51.0
6,суцільна,Волинська,Турійське ЛГ,3,187.0
7,суцільна,Дніпропетровська,Васильківське ЛГ,3,467.0
8,суцільна,Дніпропетровська,Дніпровське ЛГ,15,1019.0
9,суцільна,Дніпропетровська,Павлоградське ЛГ,4,245.0
10,суцільна,Дніпропетровська,Петриківське ЛГ,1,200.0
11,суцільна,Донецька,Великоанадольське ЛГ,2,2.0
12,суцільна,Житомирська,Баранівське ЛМГ,4,492.0
13,суцільна,Житомирська,Білокоровицьке ЛГ,2,199.0
14,суцільна,Житомирська,Городницьке ЛГ,8,745.0
15,суцільна,Житомирська,Житомирське ЛГ,1,295.0
16,суцільна,Житомирська,Коростенське ЛМГ,5,151.0
17,суцільна,Житомирська,Лугинський спецлісгосп,1,154.0
18,суцільна,Житомирська,Народицьке спеціалізоване ЛГ,1,211.0
19,суцільна,Житомирська,Новоград-Волинське ДЛМГ,9,301.0
20,суцільна,Житомирська,Олевське ЛГ,9,731.0
21,суцільна,Житомирська,Попільнянське ЛГ,2,207.0
22,суцільна,Житомирська,Радомишльське ЛМГ,2,0.0
23,суцільна,Закарпатська,Великоберезнянське ЛГ,13,2849.0
24,суцільна,Закарпатська,Великобичківське ДЛМГ,314,66439.0
25,суцільна,Закарпатська,Верхньогірське ЛГ,3,382.0
26,суцільна,Закарпатська,Воловецьке ЛГ,1,88.0
27,суцільна,Закарпатська,Довжанське ЛМГ,1,92.0
28,суцільна,Закарпатська,Міжгірське ЛГ,8,1445.0
29,суцільна,Закарпатська,Мокрянське ЛМГ,96,17015.0
30,суцільна,Закарпатська,Мукачівське ЛГ,10,697.0
31,суцільна,Закарпатська,Перечинське ЛГ,30,4879.0
32,суцільна,Закарпатська,Рахівське дослідне ЛГ,36,9745.0
33,суцільна,Закарпатська,Свалявське ЛГ,3,698.0
34,суцільна,Закарпатська,Тячівське ЛГ,22,2618.0
35,суцільна,Закарпатська,Хустське дослідне ЛГ,23,5224.0
36,суцільна,Запорізька,Бердянське ЛГ,2,139.0
37,суцільна,Запорізька,Пологівське ЛМГ,2,52.0
38,суцільна,Івано-Франківська,Болехівське ЛГ,45,7342.0
39,суцільна,Івано-Франківська,Брошнівське ЛГ,2,313.0
40,суцільна,Івано-Франківська,Ворохтянське ЛГ,2,283.0
41,суцільна,Івано-Франківська,Делятинське ЛГ,1,194.0
42,суцільна,Івано-Франківська,Надвірнянське ЛГ,3,248.0
43,суцільна,Івано-Франківська,Осмолодське ЛГ,4,514.0
44,суцільна,Київська,Білоцерківський ЛГ,1,168.0
45,суцільна,Київська,Бориспільське ЛГ,3,1577.0
46,суцільна,Київська,Макарівське ЛГ,1,182.0
47,суцільна,Київська,Переяслав-Хмельницьке ЛГ,2,85.0
48,суцільна,Київська,Ржищівське ЛГ,14,1866.0
49,суцільна,Київська,Ржищівський військовий лісгосп,2,150.0
50,суцільна,Київська,Фастівське ЛГ,2,214.0
51,суцільна,Кіровоградська,Долинське ЛГ,14,1750.0
52,суцільна,Кіровоградська,Компаніївське ЛГ,37,4597.0
53,суцільна,Кіровоградська,Олександрівське ЛГ,16,4721.0
54,суцільна,Кіровоградська,Оникіївське ЛГ,8,1536.0
55,суцільна,Кіровоградська,Світловодське ЛГ,57,11376.0
56,суцільна,Кіровоградська,Чорноліське ЛГ,78,22944.0
57,суцільна,Луганська,Сєвєродонецьке ЛМГ,2,168.0
58,суцільна,Львівська,Радехівське ЛМГ,2,107.0
59,суцільна,Миколаївська,Баштанське ЛГ,12,304.0
60,суцільна,Миколаївська,Володимирівське ЛГ,5,126.0
61,суцільна,Миколаївська,Врадіївське ЛГ,26,3013.0
62,суцільна,Миколаївська,Миколаївське ЛГ,3,471.2
63,суцільна,Полтавська,Гадяцьке ЛГ,24,5201.0
64,суцільна,Полтавська,Кременчуцьке ЛГ,2,226.0
65,суцільна,Полтавська,Полтавське ЛГ,14,2918.0
66,суцільна,Рівненська,Березнівське ЛГ,2,221.0
67,суцільна,Рівненська,Володимирецьке ЛГ,2,269.0
68,суцільна,Рівненська,Дубровицьке ЛГ,3,63.0
69,суцільна,Рівненська,Зарічненське ЛГ,1,200.0
70,суцільна,Рівненська,Клесівське ЛГ,2,115.0
71,суцільна,Рівненська,Костопільське ЛГ,1,92.0
72,суцільна,Рівненська,Млинівське ЛГ,8,2124.0
73,суцільна,Рівненська,Остківське ЛГ,2,0.0
74,суцільна,Рівненська,Рафалівське ЛГ,1,83.0
75,суцільна,Рівненська,Рокитнівський держспецлісгосп СЛАП,1,48.0
76,суцільна,Рівненська,Соснівське ЛГ,1,27.0
77,суцільна,Харківська,Балаклійське ЛГ,21,3794.0
78,суцільна,Харківська,Вовчанське ЛГ,59,17635.0
79,суцільна,Харківська,Гутянське ЛГ,92,20752.0
80,суцільна,Харківська,Жовтневе ЛГ,166,48822.0
81,суцільна,Харківська,Зміївське ЛГ,20,6167.0
82,суцільна,Харківська,Чугуєво-Бабчанське ЛГ,12,3637.0
83,суцільна,Хмельницька,Ізяславське ЛГ,1,55.0
84,суцільна,Хмельницька,Шепетівське ЛГ,4,981.0
85,суцільна,Черкаська,Золотоніське ЛГ,31,2011.0
86,суцільна,Черкаська,Канівське ЛГ,11,803.0
87,суцільна,Черкаська,Лисянське ЛГ,3,447.0
88,суцільна,Черкаська,Смілянське ЛГ,4,727.0
89,суцільна,Черкаська,Уманське ЛГ,2,344.0
90,суцільна,Черкаська,Черкаське ЛГ,1,14.0
91,суцільна,Чернівецька,Карпатський держспецлісгосп СЛАП,2,181.0
92,суцільна,Чернівецька,Чернівецьке ЛГ,1,19.0
93,суцільна,Чернігівська,Прилуцьке ЛГ,1,251.0
